,longest_idle_time,score,extra_data,goal,calorie,run_time,deviceuuid,update_time,longest_active_time,day_time,walk_time,pkg_name,active_time,distance,others_time,step_count,datauuid,create_time
801,22140000,0,d825b057-4533-40a9-a07d-7d937f69ab49.extra_data.json,-1,605.8381,231148,jQfnryI8/B,2018-01-12 15:12:41.718,850302,1515628800000,8159667,com.sec.android.app.shealth,8390815,10040.568000000001,0,13269,d825b057-4533-40a9-a07d-7d937f69ab49,2018-01-11 05:00:00.619
802,20640000,0,d8399db9-d1ce-4925-8517-11b3325fe9e1.extra_data.json,-1,605.6893,16481,jQfnryI8/B,2018-03-09 12:41:05.226,2550312,1520467200000,5559800,com.sec.android.app.shealth,8126593,6627.3486,2550312,10110,d8399db9-d1ce-4925-8517-11b3325fe9e1,2018-03-08 05:00:02.170
803,22980000,160,d85cad19-bf40-4053-850b-214d8d11b15d.extra_data.json,60,545.94867,940498,jQfnryI8/B,2018-12-03 14:35:47.332,1221364,1543708800000,3658083,com.sec.android.app.shealth,5819945,6929.1359999999995,1221364,8477,d85cad19-bf40-4053-850b-214d8d11b15d,2018-12-02 05:00:01.119
804,33060000,111,d89cfcb4-a2da-4a88-bb4e-d76206e5e34a.extra_data.json,60,323.08002,157692,jQfnryI8/B,2016-07-27 04:35:01.406,420000,1469491200000,3906374,com.sec.android.app.shealth,4064066,5650.679,0,6951,d89cfcb4-a2da-4a88-bb4e-d76206e5e34a,2016-07-26 07:00:01.648
805,27300000,0,d9035de9-9174-4547-8109-d8e29d046e5b.extra_data.json,-1,400.73787999999996,26000,jQfnryI8/B,2018-01-02 21:08:14.853,1175537,1514764800000,5723537,com.sec.android.app.shealth,5749537,6834.158,0,9104,d9035de9-9174-4547-8109-d8e29d046e5b,2018-01-01 08:00:02.249
806,17040000,0,d916a6b2-d648-4cd9-95d7-ee67d6a0865f.extra_data.json,-1,499.36995999999994,45051,jQfnryI8/B,2017-04-08 02:41:57.457,420000,1491523200000,6970824,com.sec.android.app.shealth,7015875,8816.461,0,11364,d916a6b2-d648-4cd9-95d7-ee67d6a0865f,2017-04-07 04:00:01.614
807,67680000,0,d94b732f-c142-4b54-b3dd-b5b636751ef0.extra_data.json,-1,2.54,2000,jQfnryI8/B,2017-09-08 22:53:02.120,12006,1504828800000,30682,com.sec.android.app.shealth,32682,47.04,0,51,d94b732f-c142-4b54-b3dd-b5b636751ef0,2017-09-08 04:00:27.437
808,48059999,0,d9ccd728-e0f9-4d1c-96a5-00753be1e919.extra_data.json,-1,1.51,0,jQfnryI8/B,2017-11-01 12:08:41.122,10005,1509408000000,18676,com.sec.android.app.shealth,18676,23.45,0,28,d9ccd728-e0f9-4d1c-96a5-00753be1e919,2017-10-31 04:00:00.559
809,35099999,0,da17b0fc-d762-415e-90cb-a3b42cffea4f.extra_data.json,-1,8.909999000000001,400,jQfnryI8/B,2017-06-11 12:15:00.035,22678,1497052800000,137402,com.sec.android.app.shealth,137802,164.34999,0,207,da17b0fc-d762-415e-90cb-a3b42cffea4f,2017-06-10 04:00:37.087
810,26100000,208,da218913-a1c7-45c2-a935-628e2ddec0ab.extra_data.json,60,537.7615,38311,jQfnryI8/B,2018-09-27 17:04:17.062,861496,1537920000000,6927699,com.sec.android.app.shealth,7573586,8648.458,607576,11334,da218913-a1c7-45c2-a935-628e2ddec0ab,2018-09-26 04:52:02.543
