,longest_idle_time,score,goal,calorie,run_time,deviceuuid,update_time,longest_active_time,day_time,walk_time,active_time,distance,others_time,step_count,create_time
363,15240000,0,-1,516.4975599999998,49750,jQfnryI8/B,2018-02-23 00:03:35.818,850670,1519171200000,7346809,7396559,8810.403,0,11923,2018-02-21 05:01:18.407
364,18000000,0,-1,367.33984,24072,jQfnryI8/B,2017-01-25 06:10:52.326,660000,1485216000000,5256662,5280734,6752.4385,0,8613,2017-01-24 08:00:01.664
365,70080000,0,-1,29.89,11787,jQfnryI8/B,2017-11-15 01:44:46.011,120000,1510617600000,377546,389333,520.18,0,609,2017-11-14 05:00:03.104
366,27360000,0,-1,275.31,19917,jQfnryI8/B,2016-12-15 03:48:27.690,300000,1481673600000,3832864,3852781,4827.0605,0,6242,2016-12-14 08:00:01.596
367,20160000,0,-1,250.92995,102806,jQfnryI8/B,2017-04-05 23:44:28.313,360000,1491350400000,3175839,3278645,4419.8403,0,5500,2017-04-05 04:00:01.636
368,26160000,0,-1,505.88995,45805,jQfnryI8/B,2017-06-15 02:29:01.563,840000,1497398400000,6698110,6743915,9108.066,0,11624,2017-06-14 04:00:00.316
369,27960000,0,-1,124.39001,37754,jQfnryI8/B,2016-06-25 14:40:08.800,240000,1464566400000,2253446,2291200,2730.5105,0,3633,2016-06-25 14:40:08.800
370,27900000,0,-1,722.058,2800,jQfnryI8/B,2018-07-09 13:51:15.427,3679297,1530921600000,2102084,5784181,23624.607000000004,3679297,3387,2018-07-07 04:00:00.791
371,21420000,0,-1,195.46996,14771,jQfnryI8/B,2017-04-20 02:30:20.638,300000,1492560000000,2800803,2815574,3470.5703,0,4525,2017-04-19 04:00:02.504
372,24420000,0,-1,230.36003,37927,jQfnryI8/B,2016-12-18 06:34:03.388,420000,1481932800000,3330695,3368622,4196.3115,0,5259,2016-12-17 08:00:02.002
373,31200000,0,-1,396.94998,68566,jQfnryI8/B,2017-01-26 06:32:34.023,660000,1485302400000,5373919,5442485,7109.13,0,9018,2017-01-25 08:00:02.338
374,13440000,0,-1,791.78766,66124,jQfnryI8/B,2018-08-10 23:54:14.861,4362237,1533686400000,5685649,10114010,7007.5909999999985,4362237,10691,2018-08-08 04:00:01.281
375,33300000,0,-1,109.699974,57200,jQfnryI8/B,2017-07-03 21:55:01.435,240000,1499040000000,1343038,1400238,1837.7599,0,2264,2017-07-03 04:00:00.535
376,24420000,0,-1,314.74002,6000,jQfnryI8/B,2018-07-21 15:52:40.711,600000,1531958400000,3492629,4098629,4219.2085,600000,5427,2018-07-19 04:00:00.576
