,heart_rate,deviceuuid,max,min,time_offset,local_start_time,local_end_time
1023,65.0,F/D7+hL5E5,0.0,0.0,UTC+0200,2018-08-28 15:00:29.302,2018-08-28 15:00:29.302
1024,56.0,F/D7+hL5E5,0.0,0.0,UTC-0500,2018-11-19 01:00:29.312,2018-11-19 01:00:29.312
1025,54.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-08-31 00:40:29.233,2018-08-31 00:40:29.233
1026,54.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-10-30 06:30:50.136,2018-10-30 06:30:50.136
1027,58.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-10-05 06:00:51.896,2018-10-05 06:00:51.896
1028,84.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-08-08 01:50:29.295,2018-08-08 01:50:29.295
1029,61.0,F/D7+hL5E5,0.0,0.0,UTC+0200,2018-08-21 22:20:29.261,2018-08-21 22:20:29.261
1030,56.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-10-04 03:40:29.258,2018-10-04 03:40:29.258
1031,58.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-09-21 03:50:29.257,2018-09-21 03:50:29.257
1032,59.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-07-08 12:30:29.235,2018-07-08 12:30:29.235
1033,66.0,F/D7+hL5E5,0.0,0.0,UTC-0500,2018-12-15 20:10:51.506,2018-12-15 20:10:51.506
1034,61.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-07-21 23:10:59.474,2018-07-21 23:10:59.474
1035,57.0,F/D7+hL5E5,0.0,0.0,UTC-0500,2018-11-17 12:50:29.320,2018-11-17 12:50:29.320
1036,73.0,F/D7+hL5E5,0.0,0.0,UTC-0500,2018-12-16 02:40:58.480,2018-12-16 02:40:58.480
1037,64.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-09-28 10:50:46.030,2018-09-28 10:50:46.030
1038,58.0,F/D7+hL5E5,0.0,0.0,UTC-0500,2018-12-16 21:40:29.328,2018-12-16 21:40:29.328
1039,76.0,F/D7+hL5E5,0.0,0.0,UTC-0500,2018-12-10 09:20:29.252,2018-12-10 09:20:29.252
1040,52.0,F/D7+hL5E5,0.0,0.0,UTC-0500,2019-01-01 02:30:29.276,2019-01-01 02:30:29.276
1041,58.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-06-14 23:40:29.300,2018-06-14 23:40:29.300
1042,52.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-06-24 03:40:51.540,2018-06-24 03:40:51.540
1043,67.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-05-26 20:11:56.932,2018-05-26 20:11:56.932
1044,66.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-10-21 10:20:29.305,2018-10-21 10:20:29.305
1045,58.0,F/D7+hL5E5,0.0,0.0,UTC-0500,2018-12-06 06:00:29.284,2018-12-06 06:00:29.284
1046,62.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-08-06 07:30:29.271,2018-08-06 07:30:29.271
1047,55.0,F/D7+hL5E5,0.0,0.0,UTC-0500,2018-12-16 03:30:29.325,2018-12-16 03:30:29.325
1048,50.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-07-29 03:40:29.304,2018-07-29 03:40:29.304
1049,55.0,F/D7+hL5E5,0.0,0.0,UTC-0500,2018-11-09 21:50:58.481,2018-11-09 21:50:58.481
