,altitude_loss,max_altitude,count,altitude_gain,duration,deviceuuid,max_heart_rate,mean_heart_rate,max_cadence,time_offset,incline_distance,exercise_type,decline_distance,max_speed,calorie,mean_cadence,mean_speed,min_altitude,min_heart_rate,count_type,distance,local_start_time,local_end_time
724,,,,,17.837616666666666,F/D7+hL5E5,0.0,0.0,0.0,UTC-0400,,walking,,2.5,103.6,0.0,1.7403951000000002,,0.0,nan,1667.484,2018-05-07 18:32:14.777,2018-05-07 18:50:05.034
725,,,0.0,,35.0,jQfnryI8/B,,,,UTC-0400,,swimming,,,294.0,,0.0,,,repetition,0.0,2018-10-19 06:07:00.000,2018-10-19 06:42:00.000
727,,,0.0,,15.0,jQfnryI8/B,,,,UTC-0400,,swimming,,,126.0,,0.0,,,repetition,0.0,2018-07-04 07:54:00.000,2018-07-04 08:09:00.000
729,,,,,10.126266666666666,F/D7+hL5E5,0.0,0.0,0.0,UTC-0400,,custom,,,48.84,0.0,,,0.0,nan,,2018-09-26 18:35:48.713,2018-09-26 18:45:56.289
738,,,,,13.977483333333334,F/D7+hL5E5,0.0,0.0,0.0,UTC-0500,,walking,,2.4166667,74.86,0.0,1.6897972,,0.0,nan,1121.283,2018-03-06 17:47:36.692,2018-03-06 18:01:35.341
742,,,,,16.567983333333334,F/D7+hL5E5,0.0,0.0,152.0,UTC-0400,,running,,2.5555556,168.73,126.086555,2.1808994,,0.0,nan,2001.435,2018-06-04 19:24:09.730,2018-06-04 19:40:43.809
743,,,,,10.0,F/D7+hL5E5,0.0,0.0,0.0,UTC-0400,,cycling,,,112.0,0.0,,,0.0,nan,,2018-09-20 19:38:32.508,2018-09-20 19:48:32.508
746,,,,,12.69505,F/D7+hL5E5,0.0,0.0,0.0,UTC-0400,,cycling,,,142.184,0.0,,,0.0,nan,,2018-06-28 21:43:39.277,2018-06-28 21:56:20.980
750,,,,,40.5206,F/D7+hL5E5,220.0,147.0,0.0,UTC-0400,0.0,custom,0.0,,215.424,0.0,0.0,,85.0,nan,0.0,2018-09-19 18:25:28.757,2018-09-19 19:06:03.832
751,,,,,62.297,F/D7+hL5E5,183.0,121.0,0.0,UTC-0500,0.0,custom,0.0,,331.355,0.0,0.0,,70.0,nan,0.0,2018-02-12 19:32:24.276,2018-02-12 20:34:43.656
753,,,0.0,,30.0,jQfnryI8/B,,,,UTC-0400,,swimming,,,252.0,,0.0,,,repetition,0.0,2018-05-27 07:50:00.000,2018-05-27 08:20:00.000
756,,,,,49.127633333333335,F/D7+hL5E5,193.0,131.0,0.0,UTC-0400,0.0,custom,0.0,,261.348,0.0,0.0,,76.0,nan,0.0,2018-05-18 18:03:45.644,2018-05-18 18:53:04.195
758,,,,,13.414016666666667,F/D7+hL5E5,0.0,0.0,0.0,UTC-0500,,walking,,1.7777778000000002,56.77,0.0,1.5142496,,0.0,nan,932.351,2018-02-07 20:54:01.464,2018-02-07 21:07:26.305
765,,,,,86.80238333333334,F/D7+hL5E5,165.0,122.0,0.0,UTC-0400,0.0,custom,0.0,,461.776,0.0,0.0,,84.0,nan,0.0,2018-07-27 17:10:31.317,2018-07-27 18:37:22.192
767,,,,,62.923566666666666,F/D7+hL5E5,205.0,118.0,0.0,UTC-0500,0.0,custom,0.0,,334.667,0.0,0.0,,78.0,nan,0.0,2018-12-18 16:01:47.976,2018-12-18 17:04:45.137
773,,,,,83.65658333333333,F/D7+hL5E5,182.0,134.0,0.0,UTC-0400,0.0,custom,0.0,,444.949,0.0,0.0,,83.0,nan,0.0,2018-05-25 16:38:07.926,2018-05-25 18:01:49.612
775,,,,,13.509583333333333,F/D7+hL5E5,0.0,0.0,0.0,UTC-0400,,walking,,2.9722223,73.72,0.0,1.6569909,,0.0,nan,1112.26,2018-04-04 07:42:00.313,2018-04-04 07:55:30.888
776,58.46526,65.75034000000001,,64.04113000000001,40.96071666666667,jQfnryI8/B,,,,UTC-0700,481.0,running,554.0,3.0248559,408.0,,2.000407,52.467632,,nan,4910.0,2016-09-27 17:21:42.571,2016-09-27 18:04:05.302
777,,,,,31.8524,F/D7+hL5E5,0.0,0.0,169.0195,UTC-0400,,running,,2.75,316.44,125.45365,2.1163452,,0.0,nan,3708.012,2018-08-05 08:40:54.223,2018-08-05 09:12:45.367
778,,,,,0.14175,F/D7+hL5E5,0.0,0.0,0.0,UTC-0400,0.0,running,0.0,,0.17911392,0.0,0.0,,0.0,nan,0.0,2018-09-02 07:19:23.272,2018-09-02 07:19:33.064
780,,,,,30.9595,F/D7+hL5E5,163.0,117.0,0.0,UTC-0500,0.0,custom,0.0,,164.667,0.0,0.0,,50.0,nan,0.0,2018-01-18 06:25:39.299,2018-01-18 06:56:39.218
781,,,0.0,,20.0,jQfnryI8/B,,,,UTC-0400,,swimming,,,168.0,,0.0,,,repetition,0.0,2018-08-12 07:26:00.000,2018-08-12 07:46:00.000
786,,,,,12.128716666666667,F/D7+hL5E5,0.0,0.0,0.0,UTC-0500,,walking,,1.8055556,54.07,0.0,1.6034032,,0.0,nan,924.678,2018-11-21 08:04:49.738,2018-11-21 08:16:57.461
790,,,0.0,,20.0,jQfnryI8/B,,,,UTC-0400,,swimming,,,168.0,,0.0,,,repetition,0.0,2018-05-17 08:27:00.000,2018-05-17 08:47:00.000
798,,,,,8.690933333333334,F/D7+hL5E5,0.0,0.0,0.0,UTC-0500,,elliptical,,,60.83600000000001,0.0,,,0.0,nan,,2017-12-17 16:29:25.721,2017-12-17 16:38:07.177
800,,,0.0,,30.0,jQfnryI8/B,,,,UTC-0400,,swimming,,,252.0,,0.0,,,repetition,0.0,2018-06-23 09:50:00.000,2018-06-23 10:20:00.000
802,,,,,51.098533333333336,F/D7+hL5E5,168.0,128.0,0.0,UTC-0500,0.0,custom,0.0,,271.791,0.0,0.0,,72.0,nan,0.0,2018-01-28 07:43:34.797,2018-01-28 08:34:50.124
812,,,,,19.52445,F/D7+hL5E5,0.0,0.0,0.0,UTC-0800,,walking,,2.3055556,93.31,0.0,1.5236253,,0.0,nan,1542.569,2018-01-01 12:06:24.463,2018-01-01 12:25:55.930
813,,,,,78.42396666666667,F/D7+hL5E5,190.0,123.0,0.0,UTC-0500,0.0,custom,0.0,,417.023,0.0,0.0,,70.0,nan,0.0,2018-01-07 17:02:12.217,2018-01-07 18:20:45.162
815,,,,,14.728033333333334,F/D7+hL5E5,0.0,0.0,0.0,UTC-0500,,walking,,2.25,76.84,0.0,1.6318694,,0.0,nan,1130.74,2018-01-18 18:23:57.314,2018-01-18 18:38:40.996
818,,,0.0,,30.0,jQfnryI8/B,,,,UTC-0500,,swimming,,,252.0,,0.0,,,repetition,0.0,2018-01-10 13:59:00.000,2018-01-10 14:29:00.000
823,,,,,67.349,F/D7+hL5E5,199.0,131.0,0.0,UTC-0500,0.0,custom,0.0,,358.28,0.0,0.0,,89.0,nan,0.0,2018-02-04 06:55:06.985,2018-02-04 08:02:30.583
824,,,0.0,,30.0,jQfnryI8/B,,,,UTC-0400,,swimming,,,252.0,,0.0,,,repetition,0.0,2018-10-06 07:54:00.000,2018-10-06 08:24:00.000
827,,,,,71.1142,F/D7+hL5E5,171.0,135.0,0.0,UTC-0400,0.0,custom,0.0,,378.322,0.0,0.0,,105.0,nan,0.0,2018-04-14 10:26:01.257,2018-04-14 11:37:10.722
828,,,,,59.87213333333333,F/D7+hL5E5,177.0,122.0,0.0,UTC-0500,0.0,custom,0.0,,318.507,0.0,0.0,,55.0,nan,0.0,2018-11-25 17:46:26.887,2018-11-25 18:46:21.017
831,,,,,13.545133333333334,F/D7+hL5E5,0.0,0.0,0.0,UTC-0500,,walking,,1.8568523,66.44,0.0,1.5095973,,0.0,nan,965.54,2018-01-03 15:59:34.532,2018-01-03 16:13:07.240
833,,,,,12.362283333333334,F/D7+hL5E5,0.0,0.0,0.0,UTC-0500,,walking,,1.7222221999999998,58.79,0.0,1.5976877,,0.0,nan,986.62,2018-03-07 20:54:27.248,2018-03-07 21:06:48.985
835,,,,,19.602316666666667,F/D7+hL5E5,0.0,0.0,0.0,UTC-0400,,custom,,,107.99,0.0,,,0.0,nan,,2018-08-04 11:37:25.396,2018-08-04 11:57:01.535
837,,,0.0,,45.0,jQfnryI8/B,,,,UTC-0400,,swimming,,,378.0,,0.0,,,repetition,0.0,2018-10-25 06:19:00.000,2018-10-25 07:04:00.000
838,,271.397,,,26.805566666666667,F/D7+hL5E5,220.0,167.0,167.796,UTC-0800,766.78,running,855.829,3.831,366.347,141.91083,2.748201,231.148,116.0,nan,4420.025,2017-12-24 08:44:37.515,2017-12-24 09:13:36.663
839,,,,,56.20061666666667,F/D7+hL5E5,174.0,129.0,0.0,UTC-0400,0.0,custom,0.0,,298.944,0.0,0.0,,83.0,nan,0.0,2018-10-29 16:43:17.216,2018-10-29 17:39:30.558
845,,,,,52.896233333333335,F/D7+hL5E5,174.0,130.0,0.0,UTC-0500,0.0,custom,0.0,,281.398,0.0,0.0,,87.0,nan,0.0,2018-01-19 17:53:15.108,2018-01-19 18:46:10.841
847,,,,,14.713883333333333,jQfnryI8/B,,,,UTC-0400,,walking,,2.6944444,68.57,,1.5050071000000005,,,nan,1328.67,2018-06-07 21:07:34.000,2018-06-07 21:22:16.000
850,,230.634,,,15.407616666666666,F/D7+hL5E5,168.0,153.0,155.289,UTC-0500,69.83,running,47.878,3.961,198.259,143.57613,2.9600458,216.375,98.0,nan,2732.519,2018-12-02 14:55:17.576,2018-12-02 15:11:59.123
853,,,,,11.52695,F/D7+hL5E5,0.0,0.0,0.0,UTC-0400,,walking,,1.9444444,52.76,0.0,1.5043912,,0.0,nan,908.05,2018-09-17 19:54:57.732,2018-09-17 20:06:29.349
859,,,,,12.01015,F/D7+hL5E5,0.0,0.0,0.0,UTC-0500,,walking,,1.7455406000000002,51.88,0.0,1.5316433,,0.0,nan,937.727,2018-11-15 15:26:20.613,2018-11-15 15:38:21.222
860,,,,,14.235866666666666,F/D7+hL5E5,0.0,0.0,0.0,UTC-0500,,custom,,,81.62,0.0,,,0.0,nan,,2018-01-03 08:02:02.274,2018-01-03 08:16:16.426
864,,,,,10.75,F/D7+hL5E5,0.0,0.0,0.0,UTC-0500,,custom,,,59.66,0.0,,,0.0,nan,,2018-12-28 14:05:10.622,2018-12-28 14:15:55.622
865,,,0.0,,30.0,jQfnryI8/B,,,,UTC-0400,,swimming,,,252.0,,0.0,,,repetition,0.0,2018-10-09 08:06:00.000,2018-10-09 08:36:00.000
867,,,,,13.3138,F/D7+hL5E5,0.0,0.0,0.0,UTC-0400,,custom,,,83.94,0.0,,,0.0,nan,,2018-09-21 14:37:12.237,2018-09-21 14:50:31.065
868,,54.701,,,88.39033333333333,F/D7+hL5E5,165.0,128.0,0.0,UTC-0400,405.429,cycling,447.589,8.311,703.14,0.0,4.760175,39.59,99.0,nan,25240.162,2018-07-15 10:54:04.578,2018-07-15 12:30:21.370
871,,,,,44.19845,F/D7+hL5E5,176.0,133.0,0.0,UTC-0400,0.0,custom,0.0,,235.056,0.0,0.0,,72.0,nan,0.0,2018-05-30 16:20:55.856,2018-05-30 17:05:09.712
872,,,0.0,,30.0,jQfnryI8/B,,,,UTC-0400,,swimming,,,252.0,,0.0,,,repetition,0.0,2018-08-07 07:57:00.000,2018-08-07 08:27:00.000
874,,,,,20.05591666666667,F/D7+hL5E5,0.0,0.0,0.0,UTC-0500,,walking,,1.6666666,92.57,0.0,1.5068756,,0.0,nan,1248.442,2018-12-20 18:31:38.550,2018-12-20 18:51:41.905
