,altitude_loss,max_altitude,count,altitude_gain,duration,deviceuuid,max_heart_rate,mean_heart_rate,max_cadence,time_offset,incline_distance,exercise_type,decline_distance,max_speed,calorie,mean_cadence,mean_speed,min_altitude,min_heart_rate,count_type,distance,local_start_time,local_end_time
132,,,,,14.0689,F/D7+hL5E5,0.0,0.0,0.0,UTC-0400,,walking,,2.7222223,78.03,0.0,1.7042558999999995,,0.0,nan,1048.83,2018-03-19 07:34:13.778,2018-03-19 07:48:17.912
137,,,,,63.79638333333333,F/D7+hL5E5,167.0,120.0,0.0,UTC-0500,0.0,custom,0.0,,339.358,0.0,0.0,,71.0,nan,0.0,2018-02-09 06:26:59.810,2018-02-09 07:30:50.854
138,,,,,11.802283333333333,F/D7+hL5E5,0.0,0.0,0.0,UTC-0400,,walking,,2.3768754,55.13,0.0,1.6541487,,0.0,nan,962.631,2018-05-28 07:24:13.423,2018-05-28 07:36:01.560
145,,,0.0,,40.0,jQfnryI8/B,,,,UTC-0400,,swimming,,,336.0,,0.0,,,repetition,0.0,2018-07-23 07:25:00.000,2018-07-23 08:05:00.000
150,,,,,74.68903333333333,F/D7+hL5E5,181.0,141.0,0.0,UTC-0500,0.0,custom,0.0,,397.26,0.0,0.0,,57.0,nan,0.0,2018-12-26 17:55:20.332,2018-12-26 19:10:10.009
155,,,0.0,,30.0,jQfnryI8/B,,,,UTC-0500,,swimming,,,252.0,,0.0,,,repetition,0.0,2018-01-17 13:31:00.000,2018-01-17 14:01:00.000
157,,,0.0,,30.0,jQfnryI8/B,,,,UTC-0500,,swimming,,,252.0,,0.0,,,repetition,0.0,2018-02-01 07:50:00.000,2018-02-01 08:20:00.000
160,,,,,55.189033333333334,F/D7+hL5E5,169.0,120.0,0.0,UTC-0400,0.0,custom,0.0,,293.6040000000001,0.0,0.0,,63.0,nan,0.0,2018-07-10 18:08:54.821,2018-07-10 19:04:09.648
174,,,,,13.8405,F/D7+hL5E5,0.0,0.0,0.0,UTC-0400,,custom,,,84.1,0.0,,,0.0,nan,,2018-09-21 11:56:04.402,2018-09-21 12:09:54.832
175,,,0.0,,20.0,jQfnryI8/B,,,,UTC-0400,,swimming,,,168.0,,0.0,,,repetition,0.0,2018-06-08 14:59:00.000,2018-06-08 15:19:00.000
178,,,,,74.08996666666667,F/D7+hL5E5,188.0,132.0,0.0,UTC-0400,0.0,custom,0.0,,394.11800000000005,0.0,0.0,,69.0,nan,0.0,2018-05-22 17:10:00.457,2018-05-22 18:24:07.392
180,,,,,17.641583333333333,F/D7+hL5E5,0.0,0.0,0.0,UTC-0500,,walking,,1.8055556,85.81,0.0,1.577865,,0.0,nan,1304.73,2018-11-27 18:35:13.113,2018-11-27 18:52:51.608
185,,,0.0,,25.0,jQfnryI8/B,,,,UTC-0400,,swimming,,,210.0,,0.0,,,repetition,0.0,2018-03-29 07:27:00.000,2018-03-29 07:52:00.000
190,,,0.0,,40.0,jQfnryI8/B,,,,UTC-0400,,cycling,,,380.0,,0.0,,,repetition,0.0,2018-06-28 20:35:00.000,2018-06-28 21:15:00.000
196,,,0.0,,30.0,jQfnryI8/B,,,,UTC-0500,,swimming,,,252.0,,0.0,,,repetition,0.0,2018-01-12 09:42:00.000,2018-01-12 10:12:00.000
198,,-4.363,,,24.418816666666668,F/D7+hL5E5,220.0,172.0,179.554,UTC-0400,1013.538,running,1157.531,4.627,399.189,144.56458999999995,3.1001892000000004,-74.536,90.0,nan,4542.053,2018-09-23 08:49:32.396,2018-09-23 09:17:21.178
199,,,,,13.77255,F/D7+hL5E5,0.0,0.0,0.0,UTC-0500,,custom,,,84.03,0.0,,,0.0,nan,,2018-11-17 21:38:50.511,2018-11-17 21:52:36.864
200,,,,,47.57295,F/D7+hL5E5,213.0,126.0,0.0,UTC-0500,0.0,custom,0.0,,253.053,0.0,0.0,,74.0,nan,0.0,2018-12-20 15:12:39.006,2018-12-20 16:00:15.048
203,,,,,63.907266666666665,F/D7+hL5E5,219.0,129.0,0.0,UTC-0400,0.0,custom,0.0,,339.836,0.0,0.0,,81.0,nan,0.0,2018-06-07 16:46:37.216,2018-06-07 17:50:34.634
207,,,,,13.25755,F/D7+hL5E5,0.0,0.0,0.0,UTC-0400,,walking,,1.8055556,64.55,0.0,1.5119047,,0.0,nan,1125.52,2018-05-30 18:24:37.652,2018-05-30 18:37:53.105
210,,,,,13.376916666666666,F/D7+hL5E5,0.0,0.0,0.0,UTC-0400,,walking,,1.7777778000000002,60.92,0.0,1.5273795,,0.0,nan,1064.119,2018-10-16 19:02:44.660,2018-10-16 19:16:07.275
212,,,,,43.1819,F/D7+hL5E5,220.0,147.0,0.0,UTC-0500,0.0,custom,0.0,,229.699,0.0,0.0,,75.0,nan,0.0,2018-01-29 06:17:17.776,2018-01-29 07:00:32.795
213,,,0.0,,35.0,jQfnryI8/B,,,,UTC-0500,,swimming,,,294.0,,0.0,,,repetition,0.0,2018-11-20 06:12:00.000,2018-11-20 06:47:00.000
214,,,0.0,,30.0,jQfnryI8/B,,,,UTC-0400,,swimming,,,252.0,,0.0,,,repetition,0.0,2018-05-14 07:29:00.000,2018-05-14 07:59:00.000
217,,,,,48.47656666666666,F/D7+hL5E5,172.0,124.0,0.0,UTC-0400,0.0,custom,0.0,,257.871,0.0,0.0,,59.0,nan,0.0,2018-04-07 07:42:34.427,2018-04-07 08:31:05.100
223,,,,,40.47338333333333,F/D7+hL5E5,144.0,117.0,0.0,UTC-0400,0.0,custom,0.0,,215.285,0.0,0.0,,93.0,nan,0.0,2018-07-03 18:12:06.936,2018-07-03 18:52:36.641
227,,,,,48.433416666666666,F/D7+hL5E5,146.0,114.0,0.0,UTC-0400,0.0,custom,0.0,,257.66,0.0,0.0,,78.0,nan,0.0,2018-06-29 18:06:38.046,2018-06-29 18:55:06.205
229,,,,,62.8334,F/D7+hL5E5,163.0,125.0,0.0,UTC-0500,0.0,custom,0.0,,334.271,0.0,0.0,,78.0,nan,0.0,2018-11-18 16:32:31.255,2018-11-18 17:35:23.576
234,,,,,53.951616666666666,F/D7+hL5E5,155.0,122.0,0.0,UTC-0500,0.0,custom,0.0,,286.916,0.0,0.0,,89.0,nan,0.0,2018-12-12 16:29:40.967,2018-12-12 17:23:44.235
239,,,,,62.86613333333333,F/D7+hL5E5,152.0,118.0,0.0,UTC-0400,0.0,custom,0.0,,334.369,0.0,0.0,,68.0,nan,0.0,2018-08-03 17:35:20.906,2018-08-03 18:38:15.316
240,,,,,61.88535,F/D7+hL5E5,158.0,119.0,0.0,UTC-0400,0.0,custom,0.0,,329.081,0.0,0.0,,78.0,nan,0.0,2018-10-26 17:13:29.147,2018-10-26 18:15:23.996
242,,,,,60.65368333333333,F/D7+hL5E5,154.0,122.0,0.0,UTC-0500,0.0,custom,0.0,,322.664,0.0,0.0,,84.0,nan,0.0,2018-02-28 06:20:00.314,2018-02-28 07:20:39.444
243,,,,,10.0,F/D7+hL5E5,0.0,0.0,0.0,UTC-0400,,cycling,,,112.0,0.0,,,0.0,nan,,2018-06-21 20:35:35.061,2018-06-21 20:45:35.061
246,,,0.0,,20.0,jQfnryI8/B,,,,UTC-0400,,swimming,,,168.0,,0.0,,,repetition,0.0,2018-03-20 07:06:00.000,2018-03-20 07:26:00.000
247,,,,,55.38666666666666,F/D7+hL5E5,167.0,121.0,0.0,UTC-0400,0.0,custom,0.0,,294.651,0.0,0.0,,85.0,nan,0.0,2018-07-25 17:49:04.607,2018-07-25 18:44:30.270
248,,,0.0,,40.0,jQfnryI8/B,,,,UTC-0400,,swimming,,,336.0,,0.0,,,repetition,0.0,2018-10-02 06:17:00.000,2018-10-02 06:57:00.000
251,,,0.0,,40.0,jQfnryI8/B,,,,UTC-0500,,swimming,,,336.0,,0.0,,,repetition,0.0,2018-11-14 06:12:00.000,2018-11-14 06:52:00.000
252,,,,,22.855183333333333,F/D7+hL5E5,0.0,0.0,0.0,UTC-0400,,walking,,1.8055556,99.93,0.0,1.5531334,,0.0,nan,1839.34,2018-06-03 19:37:12.471,2018-06-03 20:00:03.782
254,,,,,5.2002,F/D7+hL5E5,129.0,118.0,0.0,UTC-0800,0.0,custom,0.0,,27.645,0.0,0.0,,97.0,nan,0.0,2017-12-21 16:24:51.128,2017-12-21 16:30:06.710
257,,,,,8.0831,F/D7+hL5E5,131.0,106.0,0.0,UTC-0400,0.0,custom,0.0,,42.923,0.0,0.0,,64.0,nan,0.0,2018-08-02 17:16:24.517,2018-08-02 17:24:31.851
260,,,,,17.698666666666668,F/D7+hL5E5,0.0,0.0,0.0,UTC-0500,,walking,,2.1540844,81.13,0.0,1.5002557,,0.0,nan,1269.83,2018-01-18 07:50:53.428,2018-01-18 08:08:35.348
261,,,,,49.03516666666667,F/D7+hL5E5,191.0,126.0,0.0,UTC-0400,0.0,custom,0.0,,260.871,0.0,0.0,,95.0,nan,0.0,2018-04-12 07:35:10.786,2018-04-12 08:24:19.203
263,,8.748,,,26.733883333333335,F/D7+hL5E5,190.0,163.0,189.777,UTC-0400,807.303,running,803.018,4.157,378.713,138.02708,2.8088338,-20.097,76.0,nan,4505.462,2018-09-16 07:22:57.217,2018-09-16 07:51:55.913
272,,,,,17.643716666666666,F/D7+hL5E5,0.0,0.0,0.0,UTC-0500,,cycling,,,197.609,0.0,,,0.0,nan,,2018-02-24 14:23:15.309,2018-02-24 14:40:53.932
273,,,,,12.944433333333333,F/D7+hL5E5,0.0,0.0,0.0,UTC-0500,,walking,,1.7777778000000002,58.28,0.0,1.5342718000000002,,0.0,nan,956.092,2018-02-16 08:14:10.871,2018-02-16 08:27:07.537
276,28.061485,136.14052,0.0,50.47563,63.44788333333333,jQfnryI8/B,,,,UTC-0400,185.0,cycling,69.0,7.782914999999999,142.0,,1.3305285,106.77429,,stride,5060.0,2018-08-07 19:02:27.354,2018-08-07 20:10:05.077
278,2.2121034,525.2101,,169.57321000000005,16.611266666666666,jQfnryI8/B,,,,UTC-0700,789.0,hiking,16.0,1.6842473999999998,105.0,,0.92060304,342.52325,,nan,910.0,2016-09-24 15:22:47.097,2016-09-24 16:13:43.659
279,,-16.371,,,61.321616666666664,F/D7+hL5E5,149.0,129.0,0.0,UTC-0400,278.576,cycling,308.967,9.864,579.548,0.0,5.7363205000000015,-43.487,88.0,nan,21023.436,2018-07-07 19:54:28.595,2018-07-07 20:56:00.701
283,,,0.0,,40.0,jQfnryI8/B,,,,UTC-0500,,swimming,,,336.0,,0.0,,,repetition,0.0,2018-12-14 06:16:00.000,2018-12-14 06:56:00.000
285,,,,,12.412616666666667,F/D7+hL5E5,0.0,0.0,0.0,UTC-0400,,walking,,1.6111112,58.44,0.0,1.5418906,,0.0,nan,1029.98,2018-09-19 20:26:22.814,2018-09-19 20:38:47.571
286,,,0.0,,30.0,jQfnryI8/B,,,,UTC-0400,,swimming,,,252.0,,0.0,,,repetition,0.0,2018-10-11 06:54:00.000,2018-10-11 07:24:00.000
287,,,,,44.62403333333334,F/D7+hL5E5,220.0,145.0,0.0,UTC-0500,0.0,custom,0.0,,237.31,0.0,0.0,,97.0,nan,0.0,2018-01-15 06:37:22.221,2018-01-15 07:22:03.388
293,,,,,59.19943333333333,F/D7+hL5E5,171.0,135.0,0.0,UTC-0500,0.0,custom,0.0,,314.875,0.0,0.0,,95.0,nan,0.0,2018-11-05 16:37:36.216,2018-11-05 17:36:48.982
296,,,,,12.113833333333334,F/D7+hL5E5,0.0,0.0,0.0,UTC-0500,,walking,,4.138889,72.41,0.0,2.0327551,,0.0,nan,942.481,2018-12-08 10:24:09.849,2018-12-08 10:36:16.679
297,,,0.0,,40.0,jQfnryI8/B,,,,UTC-0400,,swimming,,,336.0,,0.0,,,repetition,0.0,2018-11-03 08:37:00.000,2018-11-03 09:17:00.000
299,,,,,27.419366666666665,F/D7+hL5E5,172.0,137.0,0.0,UTC-0400,0.0,custom,0.0,,145.826,0.0,0.0,,109.0,nan,0.0,2018-06-04 20:00:17.376,2018-06-04 20:27:44.522
304,,,0.0,,20.0,jQfnryI8/B,,,,UTC-0400,,swimming,,,168.0,,0.0,,,repetition,0.0,2018-07-13 08:08:00.000,2018-07-13 08:28:00.000
306,,,,,16.569433333333333,F/D7+hL5E5,0.0,0.0,0.0,UTC-0500,,walking,,1.75,85.6,0.0,1.5815213,,0.0,nan,1346.616,2018-11-15 16:30:19.729,2018-11-15 16:46:53.895
309,,,,,65.95738333333334,F/D7+hL5E5,220.0,141.0,0.0,UTC-0500,0.0,custom,0.0,,350.847,0.0,0.0,,75.0,nan,0.0,2018-01-21 07:00:39.176,2018-01-21 08:06:38.226
312,26.255226,152.85818,2580.0,46.809795,16.9767,jQfnryI8/B,,,170.51129,UTC-0500,379.0,running,161.0,3.0824830000000003,230.0,159.55493,2.8998036,128.30354,,stride,2950.0,2017-03-06 10:05:28.618,2017-03-06 10:22:41.693
313,,,0.0,,30.0,jQfnryI8/B,,,,UTC-0400,,swimming,,,252.0,,0.0,,,repetition,0.0,2018-05-24 06:53:00.000,2018-05-24 07:23:00.000
316,,,,,11.703116666666666,F/D7+hL5E5,0.0,0.0,0.0,UTC-0400,,walking,,1.5833334,57.61,0.0,1.5101888,,0.0,nan,1054.906,2018-06-06 19:56:50.329,2018-06-06 20:08:32.516
321,,,0.0,,30.0,jQfnryI8/B,,,,UTC-0400,,swimming,,,252.0,,0.0,,,repetition,0.0,2018-04-03 08:16:00.000,2018-04-03 08:46:00.000
324,,,,,47.44906666666667,F/D7+hL5E5,181.0,150.0,0.0,UTC-0500,0.0,custom,0.0,,252.379,0.0,0.0,,102.0,nan,0.0,2018-01-23 09:06:35.466,2018-01-23 09:54:04.671
325,,,,,12.264533333333333,F/D7+hL5E5,0.0,0.0,0.0,UTC-0500,,custom,,,56.89,0.0,,,0.0,nan,,2018-03-01 16:29:57.010,2018-03-01 16:42:12.882
329,,,,,61.7687,F/D7+hL5E5,167.0,128.0,0.0,UTC-0500,0.0,custom,0.0,,328.47,0.0,0.0,,78.0,nan,0.0,2018-02-19 18:05:42.307,2018-02-19 19:07:28.891
330,,,0.0,,40.0,jQfnryI8/B,,,,UTC-0500,,swimming,,,336.0,,0.0,,,repetition,0.0,2018-12-22 06:30:00.000,2018-12-22 07:10:00.000
332,,,0.0,,30.0,jQfnryI8/B,,,,UTC-0400,,cycling,,,285.0,,0.0,,,repetition,0.0,2018-10-28 08:40:00.000,2018-10-28 09:10:00.000
333,,,,,32.02741666666667,F/D7+hL5E5,147.0,122.0,0.0,UTC-0500,0.0,custom,0.0,,170.385,0.0,0.0,,94.0,nan,0.0,2018-02-02 07:52:29.396,2018-02-02 08:24:33.467
334,,,0.0,,10.0,jQfnryI8/B,,,,UTC-0400,,swimming,,,84.0,,0.0,,,repetition,0.0,2018-07-19 07:51:00.000,2018-07-19 08:01:00.000
336,,,,,12.001,jQfnryI8/B,,,,UTC-0400,,walking,,2.1388888,58.58,,1.5916728999999998,,,nan,1146.1,2018-09-03 21:23:09.000,2018-09-03 21:35:09.000
338,,,,,41.60191666666667,F/D7+hL5E5,185.0,128.0,0.0,UTC-0400,0.0,custom,0.0,,221.101,0.0,0.0,,80.0,nan,0.0,2018-04-19 15:53:32.077,2018-04-19 16:35:14.680
339,,,,,14.882833333333334,F/D7+hL5E5,0.0,0.0,0.0,UTC-0400,,walking,,2.968437,59.62,0.0,1.5370485,,0.0,nan,1003.27,2018-06-19 07:20:39.779,2018-06-19 07:35:32.749
340,,,,,45.169533333333334,F/D7+hL5E5,154.0,124.0,0.0,UTC-0400,0.0,custom,0.0,,240.252,0.0,0.0,,78.0,nan,0.0,2018-10-20 11:44:18.153,2018-10-20 12:29:31.887
347,,,,,73.1806,F/D7+hL5E5,199.0,128.0,0.0,UTC-0400,0.0,custom,0.0,,389.267,0.0,0.0,,83.0,nan,0.0,2018-04-18 19:02:24.919,2018-04-18 20:15:48.937
348,,,,,17.624133333333333,F/D7+hL5E5,0.0,0.0,0.0,UTC-0400,,walking,,2.9722223,89.36,0.0,1.6534429,,0.0,nan,1509.18,2018-06-26 16:24:39.128,2018-06-26 16:42:16.576
349,,,,,30.377066666666668,F/D7+hL5E5,153.0,114.0,0.0,UTC-0500,0.0,custom,0.0,,161.525,0.0,0.0,,86.0,nan,0.0,2018-02-05 06:35:54.299,2018-02-05 07:06:18.241
351,,,0.0,,45.0,jQfnryI8/B,,,,UTC-0500,,swimming,,,378.0,,0.0,,,repetition,0.0,2018-12-08 06:43:00.000,2018-12-08 07:28:00.000
353,,,,,40.056016666666665,F/D7+hL5E5,168.0,133.0,0.0,UTC-0500,0.0,custom,0.0,,213.034,0.0,0.0,,79.0,nan,0.0,2018-01-13 07:42:15.576,2018-01-13 08:22:20.541
357,,,,,12.919583333333334,F/D7+hL5E5,0.0,0.0,0.0,UTC-0500,,custom,,,72.73,0.0,,,0.0,nan,,2018-01-10 13:13:09.820,2018-01-10 13:26:04.995
359,,,,,73.50088333333333,F/D7+hL5E5,159.0,121.0,0.0,UTC-0500,0.0,custom,0.0,,390.887,0.0,0.0,,79.0,nan,0.0,2018-12-01 18:12:04.749,2018-12-01 19:25:37.833
362,,,,,21.675433333333334,F/D7+hL5E5,0.0,0.0,0.0,UTC+0200,,walking,,1.7222221999999998,89.07,0.0,1.5071973,,0.0,nan,1554.12,2018-08-25 08:18:51.481,2018-08-25 08:40:32.007
363,,,,,51.68395,F/D7+hL5E5,172.0,119.0,0.0,UTC-0400,0.0,custom,0.0,,274.83,0.0,0.0,,85.0,nan,0.0,2018-06-11 16:51:06.687,2018-06-11 17:43:04.168
366,,,,,32.33605,F/D7+hL5E5,157.0,119.0,0.0,UTC-0500,0.0,custom,0.0,,171.919,0.0,0.0,,88.0,nan,0.0,2018-12-03 15:12:24.076,2018-12-03 15:44:48.134
369,,,,,66.692,F/D7+hL5E5,173.0,128.0,0.0,UTC-0500,0.0,custom,0.0,,354.751,0.0,0.0,,82.0,nan,0.0,2018-01-22 17:49:04.126,2018-01-22 18:55:47.777
370,,,0.0,,44.0,jQfnryI8/B,,,,UTC-0500,,swimming,,,369.0,,0.0,,,repetition,0.0,2018-12-06 07:42:00.000,2018-12-06 08:26:00.000
376,0.0,167.32199,0.0,1.343596,0.13351666666666667,jQfnryI8/B,,,,UTC-0500,0.0,cycling,0.0,26.22892,1.0,,10.714286,165.60452,,stride,70.0,2017-03-07 09:48:16.225,2017-03-07 09:48:26.107
379,,,0.0,,30.0,jQfnryI8/B,,,,UTC-0400,,swimming,,,252.0,,0.0,,,repetition,0.0,2018-04-29 07:51:00.000,2018-04-29 08:21:00.000
382,,,0.0,,30.0,jQfnryI8/B,,,,UTC-0500,,swimming,,,252.0,,0.0,,,repetition,0.0,2018-03-04 07:56:00.000,2018-03-04 08:26:00.000
387,,,0.0,,30.0,jQfnryI8/B,,,,UTC-0500,,swimming,,,252.0,,0.0,,,repetition,0.0,2018-02-10 07:34:00.000,2018-02-10 08:04:00.000
389,,,,,66.32395,F/D7+hL5E5,180.0,133.0,0.0,UTC-0400,0.0,custom,0.0,,352.825,0.0,0.0,,93.0,nan,0.0,2018-03-31 07:46:41.250,2018-03-31 08:53:04.299
390,,,,,15.957716666666666,F/D7+hL5E5,0.0,0.0,0.0,UTC-0500,,walking,,2.1388888,71.12,0.0,1.5318687,,0.0,nan,1136.598,2018-02-07 07:51:30.312,2018-02-07 08:07:27.775
392,,,,,70.54865,F/D7+hL5E5,219.0,132.0,0.0,UTC-0400,0.0,custom,0.0,,375.252,0.0,0.0,,80.0,nan,0.0,2018-10-12 16:23:35.906,2018-10-12 17:34:10.569
394,,,,,16.4321,F/D7+hL5E5,0.0,0.0,0.0,UTC-0500,,walking,,2.0,76.93,0.0,1.5173674,,0.0,nan,1174.468,2018-11-12 17:28:22.288,2018-11-12 17:44:48.214
396,,,,,10.0,F/D7+hL5E5,0.0,0.0,0.0,UTC-0400,,cycling,,,112.0,0.0,,,0.0,nan,,2018-06-28 20:14:29.730,2018-06-28 20:24:29.730
403,,,,,62.21046666666667,F/D7+hL5E5,220.0,135.0,0.0,UTC-0500,0.0,custom,0.0,,330.8040000000001,0.0,0.0,,75.0,nan,0.0,2019-01-02 16:54:38.717,2019-01-02 17:56:52.658
404,,,,,42.5052,F/D7+hL5E5,193.0,139.0,0.0,UTC-0500,0.0,custom,0.0,,226.056,0.0,0.0,,70.0,nan,0.0,2018-03-08 05:50:15.456,2018-03-08 06:32:46.933
411,,,0.0,,30.0,jQfnryI8/B,,,,UTC-0500,,swimming,,,252.0,,0.0,,,repetition,0.0,2018-02-06 07:33:00.000,2018-02-06 08:03:00.000
415,,,0.0,,25.0,jQfnryI8/B,,,,UTC-0500,,swimming,,,210.0,,0.0,,,repetition,0.0,2018-03-07 07:43:00.000,2018-03-07 08:08:00.000
420,,,,,64.98481666666666,F/D7+hL5E5,200.0,137.0,0.0,UTC-0400,0.0,custom,0.0,,345.666,0.0,0.0,,88.0,nan,0.0,2018-05-11 17:14:25.116,2018-05-11 18:19:24.982
422,,,,,62.372733333333336,F/D7+hL5E5,172.0,120.0,0.0,UTC-0400,0.0,custom,0.0,,331.764,0.0,0.0,,84.0,nan,0.0,2018-06-22 17:16:39.047,2018-06-22 18:19:03.442
423,,,0.0,,45.0,jQfnryI8/B,,,,UTC-0400,,swimming,,,378.0,,0.0,,,repetition,0.0,2018-10-27 07:44:00.000,2018-10-27 08:29:00.000
425,,,,,19.37995,F/D7+hL5E5,0.0,0.0,0.0,UTC-0500,,walking,,1.877088,77.37,0.0,1.5051749,,0.0,nan,1218.266,2018-01-22 16:34:16.523,2018-01-22 16:53:39.320
427,,,,,15.043616666666667,F/D7+hL5E5,0.0,0.0,0.0,UTC-0400,,walking,,2.0833333,54.8,0.0,1.5225722,,0.0,nan,976.609,2018-09-28 08:18:31.478,2018-09-28 08:33:34.095
432,,,,,13.306583333333334,F/D7+hL5E5,0.0,0.0,0.0,UTC-0500,,walking,,1.7587032,60.71,0.0,1.5006217,,0.0,nan,1040.96,2018-11-23 18:22:19.053,2018-11-23 18:35:37.448
434,,,0.0,,30.0,jQfnryI8/B,,,,UTC-0400,,swimming,,,252.0,,0.0,,,repetition,0.0,2018-03-13 06:57:00.000,2018-03-13 07:27:00.000
435,,,0.0,,30.0,jQfnryI8/B,,,,UTC-0400,,swimming,,,252.0,,0.0,,,repetition,0.0,2018-04-28 07:45:00.000,2018-04-28 08:15:00.000
436,,,,,44.81121666666667,F/D7+hL5E5,172.0,135.0,0.0,UTC-0400,0.0,custom,0.0,,238.364,0.0,0.0,,72.0,nan,0.0,2018-10-09 19:23:39.989,2018-10-09 20:08:30.418
439,,,0.0,,40.0,jQfnryI8/B,,,,UTC-0500,,swimming,,,336.0,,0.0,,,repetition,0.0,2018-01-14 07:50:00.000,2018-01-14 08:30:00.000
443,,,0.0,,25.0,jQfnryI8/B,,,,UTC-0500,,swimming,,,210.0,,0.0,,,repetition,0.0,2018-12-29 09:47:00.000,2018-12-29 10:12:00.000
444,,,,,17.014566666666667,F/D7+hL5E5,0.0,0.0,156.90114,UTC-0400,,running,,2.6388888,146.78,119.83849,2.058932,,0.0,nan,1895.734,2018-06-04 19:42:10.025,2018-06-04 19:59:10.899
445,,,0.0,,30.0,jQfnryI8/B,,,,UTC-0500,,swimming,,,252.0,,0.0,,,repetition,0.0,2018-01-30 07:46:00.000,2018-01-30 08:16:00.000
446,,,0.0,,30.0,jQfnryI8/B,,,,UTC-0500,,swimming,,,252.0,,0.0,,,repetition,0.0,2018-01-21 06:20:00.000,2018-01-21 06:50:00.000
451,,,,,14.23635,F/D7+hL5E5,0.0,0.0,0.0,UTC-0400,,walking,,1.7222221999999998,64.58,0.0,1.5864497,,0.0,nan,1160.65,2018-08-28 16:02:18.981,2018-08-28 16:16:33.162
455,,16.088,,,33.40083333333333,F/D7+hL5E5,217.0,151.0,185.05900000000003,UTC-0400,499.307,running,424.887,3.921,384.814,133.50981000000002,2.660463,-15.749,96.0,nan,5326.513000000001,2018-06-25 20:28:40.628,2018-06-25 21:04:37.245
458,,,0.0,,30.0,jQfnryI8/B,,,,UTC-0400,,swimming,,,252.0,,0.0,,,repetition,0.0,2018-06-26 07:08:00.000,2018-06-26 07:38:00.000
465,,,0.0,,30.0,jQfnryI8/B,,,,UTC-0400,,swimming,,,252.0,,0.0,,,repetition,0.0,2018-05-09 13:14:00.000,2018-05-09 13:44:00.000
468,,,,,20.356066666666667,F/D7+hL5E5,168.0,118.0,0.0,UTC-0500,0.0,custom,0.0,,108.293,0.0,0.0,,89.0,nan,0.0,2018-12-02 15:12:15.567,2018-12-02 15:32:39.341
470,,,,,77.51113333333333,F/D7+hL5E5,170.0,123.0,0.0,UTC-0500,0.0,custom,0.0,,412.359,0.0,0.0,,83.0,nan,0.0,2018-11-13 16:27:53.293,2018-11-13 17:45:25.935
477,,,,,10.0,F/D7+hL5E5,0.0,0.0,0.0,UTC-0400,,cycling,,,112.0,0.0,,,0.0,nan,,2018-06-18 18:46:11.102,2018-06-18 18:56:11.102
478,,,,,13.9729,F/D7+hL5E5,0.0,0.0,0.0,UTC-0400,,walking,,1.6666666,64.84,0.0,1.5426666,,0.0,nan,1048.597,2018-03-27 20:55:50.704,2018-03-27 21:09:49.078
482,,,0.0,,30.0,jQfnryI8/B,,,,UTC-0400,,swimming,,,252.0,,0.0,,,repetition,0.0,2018-06-20 07:08:00.000,2018-06-20 07:38:00.000
484,,,,,48.773133333333334,F/D7+hL5E5,183.0,130.0,0.0,UTC-0500,0.0,custom,0.0,,259.387,0.0,0.0,,83.0,nan,0.0,2018-12-11 16:06:46.026,2018-12-11 16:55:33.338
492,,,0.0,,30.0,jQfnryI8/B,,,,UTC-0500,,swimming,,,252.0,,0.0,,,repetition,0.0,2018-02-08 07:25:00.000,2018-02-08 07:55:00.000
494,,,0.0,,30.0,jQfnryI8/B,,,,UTC-0500,,swimming,,,252.0,,0.0,,,repetition,0.0,2018-12-18 07:03:00.000,2018-12-18 07:33:00.000
499,,,0.0,,30.0,jQfnryI8/B,,,,UTC-0400,,swimming,,,252.0,,0.0,,,repetition,0.0,2018-06-02 07:23:00.000,2018-06-02 07:53:00.000
500,,,,,10.862283333333334,jQfnryI8/B,,,,UTC-0500,,walking,,4.0555553,70.47,,1.6130433000000002,,,nan,1051.28,2018-03-06 17:51:10.000,2018-03-06 18:02:01.000
501,,,,,10.2898,F/D7+hL5E5,0.0,0.0,0.0,UTC-0400,,walking,,1.6944444,50.95,0.0,1.5451518,,0.0,nan,939.48,2018-06-15 07:54:04.402,2018-06-15 08:04:21.790
502,,,,,12.463533333333332,F/D7+hL5E5,0.0,0.0,0.0,UTC-0500,,walking,,1.6944444,57.73,0.0,1.5261483,,0.0,nan,924.65,2018-02-12 07:28:19.201,2018-02-12 07:40:47.013
505,,,,,40.4222,F/D7+hL5E5,209.0,125.0,0.0,UTC-0400,0.0,custom,0.0,,214.953,0.0,0.0,,96.0,nan,0.0,2018-10-16 17:11:24.448,2018-10-16 17:51:57.816
507,,,,,33.676066666666664,F/D7+hL5E5,187.0,127.0,0.0,UTC-0500,0.0,custom,0.0,,179.134,0.0,0.0,,74.0,nan,0.0,2018-01-25 05:51:54.986,2018-01-25 06:25:37.428
509,,,,,52.57176666666667,F/D7+hL5E5,162.0,126.0,0.0,UTC-0500,0.0,custom,0.0,,279.595,0.0,0.0,,92.0,nan,0.0,2018-01-05 18:53:56.510,2018-01-05 19:46:32.174
510,,,0.0,,20.0,jQfnryI8/B,,,,UTC-0400,,swimming,,,168.0,,0.0,,,repetition,0.0,2018-07-31 07:33:00.000,2018-07-31 07:53:00.000
512,,,,,65.77261666666666,F/D7+hL5E5,175.0,127.0,0.0,UTC-0500,0.0,custom,0.0,,349.899,0.0,0.0,,90.0,nan,0.0,2018-12-10 17:17:49.851,2018-12-10 18:23:40.855
