,efficiency,quality,time_offset,deviceuuid,local_start_time,local_end_time
454,95.726494,,UTC-0400,F/D7+hL5E5,2018-07-08 16:35:00,2018-07-08 18:31:00
455,94.67005,,UTC-0400,F/D7+hL5E5,2018-04-06 23:50:00,2018-04-07 06:23:00
456,89.61303000000002,,UTC-0500,F/D7+hL5E5,2018-11-09 22:49:00,2018-11-10 07:00:00
457,96.15385,,UTC-0400,F/D7+hL5E5,2018-07-31 17:21:00,2018-07-31 18:38:00
458,91.075516,,UTC-0400,F/D7+hL5E5,2018-05-17 22:48:00,2018-05-18 06:05:00
459,89.32238000000002,,UTC-0400,F/D7+hL5E5,2018-09-01 00:14:00,2018-09-01 08:21:00
460,86.39799000000002,,UTC-0400,F/D7+hL5E5,2018-08-06 23:24:00,2018-08-07 06:00:00
461,93.849655,,UTC-0400,F/D7+hL5E5,2018-10-19 23:11:00,2018-10-20 06:29:00
462,92.05128,,UTC-0800,F/D7+hL5E5,2017-12-26 02:34:00,2017-12-26 09:03:00
463,87.66234,,UTC+0200,F/D7+hL5E5,2018-08-21 20:04:00,2018-08-21 22:37:00
465,94.047615,,UTC-0400,F/D7+hL5E5,2018-05-14 17:53:00,2018-05-14 19:16:00
466,86.71497,,UTC-0400,F/D7+hL5E5,2018-10-10 23:30:00,2018-10-11 06:23:00
467,90.890686,,UTC-0500,F/D7+hL5E5,2018-12-21 23:18:00,2018-12-22 07:32:00
468,86.0,,UTC-0400,F/D7+hL5E5,2018-06-24 13:46:00,2018-06-24 15:25:00
469,88.965515,,UTC-0400,F/D7+hL5E5,2018-10-06 14:36:00,2018-10-06 17:00:00
471,93.333336,,UTC-0400,F/D7+hL5E5,2018-07-13 16:33:00,2018-07-13 18:02:00
472,89.662025,,UTC-0500,F/D7+hL5E5,2018-12-24 00:00:00,2018-12-24 08:22:00
473,0.0,50001.0,UTC-0400,jQfnryI8/B,2018-05-08 01:00:00,2018-05-08 04:00:00
474,86.66956103703704,,UTC-0400,F/D7+hL5E5,2018-09-26 22:13:00,2018-09-27 06:19:00
475,93.40659,,UTC-0400,F/D7+hL5E5,2018-10-23 17:42:00,2018-10-23 19:12:00
476,89.86083,,UTC-0500,F/D7+hL5E5,2018-12-27 00:31:00,2018-12-27 08:53:00
477,91.84061,,UTC-0400,F/D7+hL5E5,2018-10-22 21:30:00,2018-10-23 06:16:00
478,80.92515854581673,,UTC-0400,F/D7+hL5E5,2018-09-27 22:29:00,2018-09-28 06:51:00
479,95.89372,,UTC-0500,F/D7+hL5E5,2018-01-17 22:17:00,2018-01-18 05:10:00
480,92.14070495463181,,UTC-0500,F/D7+hL5E5,2018-12-28 00:50:00,2018-12-28 09:17:00
481,94.067795,,UTC-0400,F/D7+hL5E5,2018-10-19 18:53:00,2018-10-19 20:50:00
482,94.672134,,UTC-0400,F/D7+hL5E5,2018-03-30 22:39:00,2018-03-31 06:47:00
483,89.709175,,UTC+0200,F/D7+hL5E5,2018-08-19 23:59:00,2018-08-20 07:25:00
484,89.83489713774597,,UTC-0500,F/D7+hL5E5,2018-12-03 22:22:00,2018-12-04 07:41:00
485,90.909096,,UTC-0500,F/D7+hL5E5,2018-02-05 22:24:00,2018-02-06 05:32:00
486,72.72726999999998,,UTC-0500,F/D7+hL5E5,2018-01-02 21:56:00,2018-01-02 23:01:00
487,92.12855047906977,,UTC-0400,F/D7+hL5E5,2018-04-26 22:55:00,2018-04-27 06:05:00
488,91.81495,,UTC-0500,F/D7+hL5E5,2018-02-24 02:05:00,2018-02-24 06:46:00
489,90.18789,,UTC-0500,F/D7+hL5E5,2018-11-26 21:38:00,2018-11-27 05:36:00
490,85.0283943902439,,UTC-0400,F/D7+hL5E5,2018-09-24 21:46:00,2018-09-25 05:58:00
491,81.69725873015874,,UTC-0400,F/D7+hL5E5,2018-06-15 23:58:00,2018-06-16 07:19:00
493,92.38281,,UTC-0400,F/D7+hL5E5,2018-07-06 22:54:00,2018-07-07 07:25:00
494,93.93939,,UTC-0400,F/D7+hL5E5,2018-04-14 21:32:00,2018-04-15 05:46:00
496,89.980736,,UTC-0500,F/D7+hL5E5,2018-11-22 22:14:00,2018-11-23 06:52:00
497,93.31849,,UTC-0400,F/D7+hL5E5,2018-06-21 22:53:00,2018-06-22 06:22:00
498,90.8397,,UTC-0400,F/D7+hL5E5,2018-05-20 01:44:00,2018-05-20 08:16:00
499,93.56137,,UTC-0400,F/D7+hL5E5,2018-06-18 21:14:00,2018-06-19 05:30:00
500,85.65171180733945,,UTC-0400,F/D7+hL5E5,2018-06-17 22:30:00,2018-06-18 05:46:00
