,date,total_sleep_duration_hr,mean_sleep_efficiency,mean_sleep_quality,total_step_count,total_step_distance,total_step_calorie,mean_step_speed,mean_heart_rate,max_heart_rate,min_heart_rate,mean_exercises_heart_rate,mean_cadence,mean_exercises_speed,max_altitude,max_exercises_heart_rate,max_cadence,max_exercises_speed,min_altitude,min_exercises_heart_rate,altitude_loss,total_exercises_rep_count,altitude_gain,total_exercises_duration,incline_distance,decline_distance,total_exercises_calorie,total_exercises_distance
38,2018-01-28,7.866666666666666,92.17759,50004.0,,,,,57.32432432432432,0.0,0.0,128.0,0.0,0.0,,168.0,0.0,,,72.0,0.0,0.0,0.0,51.098533333333336,0.0,0.0,271.791,0.0
39,2018-01-29,6.883333333333333,46.12069,,,,,,,,,147.0,0.0,0.0,,220.0,0.0,,,75.0,0.0,0.0,0.0,43.1819,0.0,0.0,229.699,0.0
40,2018-01-30,8.633333333333333,93.641624,50004.0,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,30.0,0.0,0.0,252.0,0.0
41,2018-01-31,8.416666666666666,95.454544,50004.0,,,,,,,,0.0,0.0,1.5027097,,0.0,0.0,1.75,,0.0,0.0,0.0,0.0,15.1077,0.0,0.0,70.64,1076.869
42,2018-02-01,8.383333333333333,92.65873,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,30.0,0.0,0.0,252.0,0.0
43,2018-02-02,9.6,91.681114,50002.0,,,,,,,,122.0,0.0,0.0,,147.0,0.0,,,94.0,0.0,0.0,0.0,32.02741666666667,0.0,0.0,170.385,0.0
44,2018-02-03,6.783333333333333,95.09804,50003.0,,,,,,,,115.0,0.0,0.0,,170.0,0.0,,,72.0,0.0,0.0,0.0,32.444066666666664,0.0,0.0,172.585,0.0
45,2018-02-04,7.866666666666666,94.291756,50004.0,,,,,,,,131.0,0.0,0.0,,199.0,0.0,,,89.0,0.0,0.0,0.0,67.349,0.0,0.0,358.28,0.0
46,2018-02-05,7.316666666666666,94.545456,50004.0,,,,,,,,57.0,0.0,0.8244461999999999,,153.0,0.0,2.7222223,,0.0,0.0,0.0,0.0,42.13178333333333,0.0,0.0,234.405,970.97
47,2018-02-06,7.133333333333334,90.909096,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,30.0,0.0,0.0,252.0,0.0
48,2018-02-07,8.066666666666666,91.331924,50003.0,,,,,,,,0.0,0.0,1.52305915,,0.0,0.0,2.1388888,,0.0,0.0,0.0,0.0,29.37173333333333,0.0,0.0,127.89000000000001,2068.949
49,2018-02-08,6.216666666666667,87.70053,50003.0,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,30.0,0.0,0.0,252.0,0.0
50,2018-02-09,6.3,87.598946,50003.0,,,,,,,,120.0,0.0,0.0,,167.0,0.0,,,71.0,0.0,0.0,0.0,63.79638333333333,0.0,0.0,339.358,0.0
