,time_offset,floor,deviceuuid,local_start_time,local_end_time
1004,UTC-0400,2.0,F/D7+hL5E5,2018-11-01 20:01:59,2018-11-01 20:03:04
1005,UTC-0500,1.0,F/D7+hL5E5,2018-11-07 20:07:48,2018-11-07 20:08:14
1006,UTC-0500,8.0,F/D7+hL5E5,2018-12-18 10:01:02,2018-12-18 10:02:29
1007,UTC-0400,1.0,F/D7+hL5E5,2018-05-15 18:40:35,2018-05-15 18:40:48
1008,UTC-0400,1.0,F/D7+hL5E5,2018-07-30 19:33:32,2018-07-30 19:33:51
1009,UTC-0500,9.0,F/D7+hL5E5,2018-01-19 16:41:14,2018-01-19 16:43:07
1010,UTC-0500,1.0,F/D7+hL5E5,2018-11-26 16:04:47,2018-11-26 16:05:14
1011,UTC-0400,2.0,F/D7+hL5E5,2018-10-12 18:15:39,2018-10-12 18:16:47
1012,UTC-0500,2.0,F/D7+hL5E5,2018-01-29 08:05:24,2018-01-29 08:06:48
1013,UTC-0400,1.0,F/D7+hL5E5,2018-06-13 18:21:55,2018-06-13 18:22:04
1014,UTC-0800,5.0,F/D7+hL5E5,2017-12-25 11:54:34,2017-12-25 11:56:24
1015,UTC-0500,1.0,F/D7+hL5E5,2018-02-04 19:37:25,2018-02-04 19:37:49
1016,UTC-0400,2.0,F/D7+hL5E5,2018-05-07 09:09:33,2018-05-07 09:10:17
1017,UTC-0400,2.0,F/D7+hL5E5,2018-05-30 08:08:54,2018-05-30 08:10:10
1018,UTC-0400,3.0,F/D7+hL5E5,2018-09-19 19:38:46,2018-09-19 19:40:06
1019,UTC-0800,1.0,F/D7+hL5E5,2017-12-31 21:05:20,2017-12-31 21:05:28
1020,UTC-0400,1.0,F/D7+hL5E5,2018-04-02 08:36:20,2018-04-02 08:36:33
1021,UTC-0400,1.0,F/D7+hL5E5,2018-07-09 16:35:09,2018-07-09 16:35:24
1022,UTC-0500,1.0,F/D7+hL5E5,2018-01-29 08:08:06,2018-01-29 08:08:25
1023,UTC+0200,1.0,F/D7+hL5E5,2018-08-20 16:15:14,2018-08-20 16:15:28
1024,UTC-0400,1.0,F/D7+hL5E5,2018-09-03 19:54:35,2018-09-03 19:54:57
1025,UTC-0400,1.0,F/D7+hL5E5,2018-04-04 18:39:55,2018-04-04 18:40:13
1026,UTC-0400,1.0,F/D7+hL5E5,2018-07-25 19:18:35,2018-07-25 19:18:48
1027,UTC-0400,1.0,F/D7+hL5E5,2018-07-03 08:45:34,2018-07-03 08:45:42
1028,UTC-0400,1.0,F/D7+hL5E5,2018-04-02 16:38:17,2018-04-02 16:38:45
1029,UTC+0200,1.0,F/D7+hL5E5,2018-08-19 14:19:44,2018-08-19 14:20:03
1030,UTC-0400,1.0,F/D7+hL5E5,2018-03-27 08:12:01,2018-03-27 08:12:40
1031,UTC-0800,1.0,F/D7+hL5E5,2017-12-27 19:56:52,2017-12-27 19:57:13
1032,UTC-0800,1.0,F/D7+hL5E5,2017-12-27 10:56:38,2017-12-27 10:56:53
1033,UTC-0400,3.0,F/D7+hL5E5,2018-04-12 19:11:24,2018-04-12 19:12:25
1034,UTC-0500,1.0,F/D7+hL5E5,2018-11-15 09:15:44,2018-11-15 09:15:51
1035,UTC-0800,1.0,F/D7+hL5E5,2017-12-26 10:46:38,2017-12-26 10:46:58
1036,UTC-0500,1.0,F/D7+hL5E5,2018-01-18 09:16:41,2018-01-18 09:16:59
1037,UTC-0500,1.0,F/D7+hL5E5,2018-01-14 17:45:13,2018-01-14 17:45:26
1038,UTC-0400,3.0,F/D7+hL5E5,2018-03-16 07:57:07,2018-03-16 07:58:52
1039,UTC-0500,7.0,F/D7+hL5E5,2018-01-27 10:23:19,2018-01-27 10:24:44
1040,UTC-0400,1.0,F/D7+hL5E5,2018-03-19 11:46:34,2018-03-19 11:46:42
1041,UTC-0400,1.0,F/D7+hL5E5,2018-04-11 08:12:47,2018-04-11 08:13:15
1042,UTC-0400,2.0,F/D7+hL5E5,2018-09-28 17:13:26,2018-09-28 17:13:49
1043,UTC-0800,1.0,F/D7+hL5E5,2017-12-24 08:57:45,2017-12-24 08:58:06
1044,UTC-0500,9.0,F/D7+hL5E5,2018-02-16 21:05:04,2018-02-16 21:06:53
1045,UTC-0400,1.0,F/D7+hL5E5,2018-05-24 17:51:56,2018-05-24 17:52:14
1046,UTC-0400,1.0,F/D7+hL5E5,2018-04-17 09:16:46,2018-04-17 09:16:53
1047,UTC-0400,1.0,F/D7+hL5E5,2018-05-02 08:42:15,2018-05-02 08:42:28
1048,UTC-0800,2.0,F/D7+hL5E5,2017-12-30 11:45:40,2017-12-30 11:46:56
1049,UTC-0800,1.0,F/D7+hL5E5,2017-12-20 12:44:08,2017-12-20 12:44:42
1050,UTC-0500,5.0,F/D7+hL5E5,2018-02-05 18:37:04,2018-02-05 18:39:00
1051,UTC-0400,1.0,F/D7+hL5E5,2018-07-20 08:31:41,2018-07-20 08:31:50
1052,UTC+0200,2.0,F/D7+hL5E5,2018-08-20 20:53:22,2018-08-20 20:53:29
1053,UTC-0400,1.0,F/D7+hL5E5,2018-06-14 07:37:31,2018-06-14 07:37:49
1054,UTC-0400,1.0,F/D7+hL5E5,2018-04-10 15:47:43,2018-04-10 15:47:57
1055,UTC-0500,1.0,F/D7+hL5E5,2018-03-07 17:14:43,2018-03-07 17:15:11
1056,UTC-0500,1.0,F/D7+hL5E5,2018-01-24 16:40:29,2018-01-24 16:40:49
1057,UTC-0400,1.0,F/D7+hL5E5,2018-08-03 18:58:07,2018-08-03 18:58:22
1058,UTC-0500,1.0,F/D7+hL5E5,2018-02-13 18:01:55,2018-02-13 18:02:14
1059,UTC-0400,1.0,F/D7+hL5E5,2018-04-19 08:44:54,2018-04-19 08:45:13
1060,UTC-0500,1.0,F/D7+hL5E5,2018-11-15 16:39:00,2018-11-15 16:39:40
1061,UTC-0400,2.0,F/D7+hL5E5,2018-06-25 07:37:44,2018-06-25 07:38:41
1062,UTC-0500,1.0,F/D7+hL5E5,2018-12-13 16:14:20,2018-12-13 16:14:37
1063,UTC-0400,2.0,F/D7+hL5E5,2018-05-17 07:25:25,2018-05-17 07:25:52
1064,UTC-0400,2.0,F/D7+hL5E5,2018-10-05 18:10:50,2018-10-05 18:12:02
1065,UTC-0500,1.0,F/D7+hL5E5,2018-11-21 20:18:25,2018-11-21 20:18:38
1066,UTC-0500,1.0,F/D7+hL5E5,2018-11-28 19:53:35,2018-11-28 19:53:52
1067,UTC-0500,1.0,F/D7+hL5E5,2018-03-05 07:45:52,2018-03-05 07:46:11
1068,UTC-0500,2.0,F/D7+hL5E5,2018-12-18 18:40:49,2018-12-18 18:41:43
1069,UTC-0500,1.0,F/D7+hL5E5,2018-02-07 16:25:15,2018-02-07 16:25:25
1070,UTC-0800,1.0,F/D7+hL5E5,2017-12-20 16:36:31,2017-12-20 16:36:39
1071,UTC-0500,1.0,F/D7+hL5E5,2018-02-14 20:09:05,2018-02-14 20:09:26
1072,UTC-0400,1.0,F/D7+hL5E5,2018-05-22 08:03:52,2018-05-22 08:04:06
1073,UTC-0400,1.0,F/D7+hL5E5,2018-06-04 19:47:13,2018-06-04 19:47:32
1074,UTC-0500,6.0,F/D7+hL5E5,2018-11-14 20:59:16,2018-11-14 21:02:04
1075,UTC-0400,1.0,F/D7+hL5E5,2018-04-11 19:11:22,2018-04-11 19:11:42
1076,UTC-0400,1.0,F/D7+hL5E5,2018-07-09 20:34:25,2018-07-09 20:34:54
1077,UTC-0500,1.0,F/D7+hL5E5,2018-01-31 08:11:05,2018-01-31 08:11:22
1078,UTC-0400,1.0,F/D7+hL5E5,2018-03-20 18:23:48,2018-03-20 18:24:13
1079,UTC-0500,2.0,F/D7+hL5E5,2018-01-16 09:35:55,2018-01-16 09:36:51
1080,UTC-0400,1.0,F/D7+hL5E5,2018-04-26 07:45:32,2018-04-26 07:45:50
1081,UTC-0400,3.0,F/D7+hL5E5,2018-10-31 18:38:32,2018-10-31 18:39:59
1082,UTC-0400,1.0,F/D7+hL5E5,2018-05-05 16:40:50,2018-05-05 16:41:25
1083,UTC-0400,1.0,F/D7+hL5E5,2018-10-03 20:59:46,2018-10-03 21:00:12
1084,UTC-0400,1.0,F/D7+hL5E5,2018-07-16 16:04:21,2018-07-16 16:04:29
1085,UTC-0400,2.0,F/D7+hL5E5,2018-03-12 07:46:09,2018-03-12 07:48:12
1086,UTC-0400,1.0,F/D7+hL5E5,2018-08-30 17:51:05,2018-08-30 17:51:35
1087,UTC-0400,2.0,F/D7+hL5E5,2018-06-07 08:37:59,2018-06-07 08:38:32
1088,UTC-0400,1.0,F/D7+hL5E5,2018-09-19 08:04:59,2018-09-19 08:05:13
1089,UTC-0400,1.0,F/D7+hL5E5,2018-05-07 18:43:54,2018-05-07 18:44:09
1090,UTC-0500,1.0,F/D7+hL5E5,2018-01-11 18:39:49,2018-01-11 18:40:10
1091,UTC-0500,2.0,F/D7+hL5E5,2018-02-12 18:35:45,2018-02-12 18:36:35
1092,UTC-0500,9.0,F/D7+hL5E5,2018-12-08 10:32:13,2018-12-08 10:34:09
1093,UTC+0200,8.0,F/D7+hL5E5,2018-08-23 18:36:57,2018-08-23 18:41:30
1094,UTC-0400,4.0,F/D7+hL5E5,2018-06-13 18:26:53,2018-06-13 18:29:13
1095,UTC-0400,1.0,F/D7+hL5E5,2018-07-18 20:40:51,2018-07-18 20:41:12
1096,UTC-0500,2.0,F/D7+hL5E5,2018-11-21 08:06:57,2018-11-21 08:07:20
1097,UTC-0500,1.0,F/D7+hL5E5,2018-03-08 18:31:03,2018-03-08 18:31:34
1098,UTC-0500,5.0,F/D7+hL5E5,2018-12-05 12:52:11,2018-12-05 12:53:12
1099,UTC-0500,4.0,F/D7+hL5E5,2018-12-20 18:40:00,2018-12-20 18:41:44
1100,UTC-0400,1.0,F/D7+hL5E5,2018-04-17 17:13:33,2018-04-17 17:13:45
1101,UTC-0500,1.0,F/D7+hL5E5,2018-01-22 08:07:43,2018-01-22 08:07:54
1102,UTC-0500,1.0,F/D7+hL5E5,2018-01-29 17:21:06,2018-01-29 17:21:16
1103,UTC-0400,1.0,F/D7+hL5E5,2018-08-29 18:04:41,2018-08-29 18:04:54
1104,UTC-0500,1.0,F/D7+hL5E5,2018-02-26 17:12:20,2018-02-26 17:12:46
1105,UTC-0500,1.0,F/D7+hL5E5,2018-12-11 09:09:15,2018-12-11 09:09:30
1106,UTC-0500,2.0,F/D7+hL5E5,2018-01-22 09:01:05,2018-01-22 09:01:13
1107,UTC-0400,1.0,F/D7+hL5E5,2018-04-07 18:55:55,2018-04-07 18:56:05
1108,UTC-0400,2.0,F/D7+hL5E5,2018-05-07 10:07:32,2018-05-07 10:08:56
1109,UTC-0400,1.0,F/D7+hL5E5,2018-04-30 07:38:25,2018-04-30 07:38:52
1110,UTC-0500,9.0,F/D7+hL5E5,2018-11-19 17:43:00,2018-11-19 17:44:53
1111,UTC-0400,1.0,F/D7+hL5E5,2018-05-02 08:35:06,2018-05-02 08:35:18
1112,UTC-0500,2.0,F/D7+hL5E5,2018-01-04 17:35:29,2018-01-04 17:36:36
1113,UTC-0400,9.0,F/D7+hL5E5,2018-08-05 09:10:05,2018-08-05 09:12:01
1114,UTC-0400,1.0,F/D7+hL5E5,2018-03-11 16:46:03,2018-03-11 16:46:35
1115,UTC-0400,1.0,F/D7+hL5E5,2018-09-05 15:41:26,2018-09-05 15:41:36
1116,UTC-0500,1.0,F/D7+hL5E5,2017-12-19 17:58:27,2017-12-19 17:58:52
1117,UTC-0500,2.0,F/D7+hL5E5,2018-01-16 08:06:00,2018-01-16 08:06:50
1118,UTC-0400,2.0,F/D7+hL5E5,2018-05-22 18:56:38,2018-05-22 18:58:00
1119,UTC-0500,1.0,F/D7+hL5E5,2018-01-16 18:33:35,2018-01-16 18:33:47
1120,UTC-0400,1.0,F/D7+hL5E5,2018-03-27 17:25:29,2018-03-27 17:25:48
1121,UTC-0400,1.0,F/D7+hL5E5,2018-10-05 08:33:13,2018-10-05 08:33:30
1122,UTC-0500,6.0,F/D7+hL5E5,2018-11-05 17:34:03,2018-11-05 17:35:36
1123,UTC-0400,1.0,F/D7+hL5E5,2018-07-26 21:48:37,2018-07-26 21:49:08
1124,UTC-0500,1.0,F/D7+hL5E5,2018-12-13 16:08:11,2018-12-13 16:08:36
1125,UTC+0200,4.0,F/D7+hL5E5,2018-08-23 17:10:48,2018-08-23 17:12:31
1126,UTC-0500,3.0,F/D7+hL5E5,2018-02-13 07:45:16,2018-02-13 07:46:28
1127,UTC-0400,9.0,F/D7+hL5E5,2018-05-27 20:00:40,2018-05-27 20:02:35
1128,UTC-0400,1.0,F/D7+hL5E5,2018-04-25 16:44:08,2018-04-25 16:44:17
1129,UTC-0400,1.0,F/D7+hL5E5,2018-09-15 10:39:22,2018-09-15 10:39:46
1130,UTC-0400,1.0,F/D7+hL5E5,2018-09-22 01:24:21,2018-09-22 01:24:41
1131,UTC-0400,2.0,F/D7+hL5E5,2018-04-30 07:40:00,2018-04-30 07:41:11
1132,UTC-0400,1.0,F/D7+hL5E5,2018-09-19 20:33:22,2018-09-19 20:33:49
1133,UTC-0400,9.0,F/D7+hL5E5,2018-06-25 21:02:54,2018-06-25 21:04:30
1134,UTC-0400,1.0,F/D7+hL5E5,2018-03-28 08:12:16,2018-03-28 08:12:37
1135,UTC+0200,2.0,F/D7+hL5E5,2018-08-27 14:28:40,2018-08-27 14:29:44
1136,UTC-0400,1.0,F/D7+hL5E5,2018-03-24 09:06:59,2018-03-24 09:07:20
1137,UTC-0800,1.0,F/D7+hL5E5,2017-12-28 22:11:20,2017-12-28 22:11:43
1138,UTC-0500,1.0,F/D7+hL5E5,2018-03-05 17:53:21,2018-03-05 17:53:47
1139,UTC-0500,7.0,F/D7+hL5E5,2019-01-02 08:54:54,2019-01-02 08:56:40
1140,UTC-0800,2.0,F/D7+hL5E5,2017-12-23 08:53:59,2017-12-23 08:55:36
1141,UTC-0400,2.0,F/D7+hL5E5,2018-06-14 22:07:39,2018-06-14 22:08:05
1142,UTC-0400,1.0,F/D7+hL5E5,2018-03-27 17:27:25,2018-03-27 17:27:36
1143,UTC-0500,3.0,F/D7+hL5E5,2018-02-07 20:09:15,2018-02-07 20:10:17
1144,UTC-0500,6.0,F/D7+hL5E5,2018-03-05 06:22:17,2018-03-05 06:23:25
1145,UTC-0500,9.0,F/D7+hL5E5,2018-11-17 17:01:40,2018-11-17 17:03:19
1146,UTC-0400,1.0,F/D7+hL5E5,2018-05-27 19:47:59,2018-05-27 19:48:14
1147,UTC-0800,4.0,F/D7+hL5E5,2017-12-21 11:24:30,2017-12-21 11:25:38
1148,UTC-0500,1.0,F/D7+hL5E5,2018-01-19 09:07:45,2018-01-19 09:08:03
1149,UTC-0500,1.0,F/D7+hL5E5,2018-03-02 17:54:43,2018-03-02 17:55:09
1150,UTC-0800,2.0,F/D7+hL5E5,2017-12-25 09:19:59,2017-12-25 09:20:59
1151,UTC+0200,1.0,F/D7+hL5E5,2018-08-22 09:36:07,2018-08-22 09:36:28
1152,UTC-0400,1.0,F/D7+hL5E5,2018-09-17 20:00:40,2018-09-17 20:01:06
1153,UTC-0400,1.0,F/D7+hL5E5,2018-05-05 20:18:47,2018-05-05 20:19:07
1154,UTC-0400,2.0,F/D7+hL5E5,2018-10-05 08:58:43,2018-10-05 08:59:13
1155,UTC-0400,1.0,F/D7+hL5E5,2018-04-05 08:48:55,2018-04-05 08:49:15
1156,UTC-0400,1.0,F/D7+hL5E5,2018-09-18 07:46:05,2018-09-18 07:46:23
1157,UTC-0500,8.0,F/D7+hL5E5,2018-03-08 06:30:13,2018-03-08 06:31:50
1158,UTC-0500,7.0,F/D7+hL5E5,2018-01-06 20:42:04,2018-01-06 20:43:34
1159,UTC-0500,1.0,F/D7+hL5E5,2018-01-03 15:04:42,2018-01-03 15:04:48
1160,UTC-0400,2.0,F/D7+hL5E5,2018-06-17 17:24:35,2018-06-17 17:25:20
1161,UTC+0200,1.0,F/D7+hL5E5,2018-08-23 17:24:34,2018-08-23 17:24:56
